cz_name,stateabbrv,name,mobility,population,density,male,white,black,amind,asian,highschool,college,dropout,manufacturing,income,gini,rentpct,poverty
Montgomery,AL,"Autauga County, Alabama",-.20944592,55221,92.896446,.4843266,.77399904,.18679488,.0041650822,.0096702343,.63949996,.23230265,.025163399,.14058201,37246,.42269999,32.799999,.18593828
Mobile,AL,"Baldwin County, Alabama",-.11844408,195121,122.7343,.48848662,.86431497,.096017346,.0059757791,.0066984077,.60533136,.2898519,.047608696,.093190461,36500,.45640001,30.299999,.19150461
Eufaula,AL,"Barbour County, Alabama",-.59394127,26932,30.43589,.53828162,.47363731,.46765929,.0019307887,.0090598548,.60787964,.1251595,.043706294,.21821566,23942,.46419999,30.299999,.45299894
Birmingham,AL,"Blount County, Alabama",.29837579,57710,89.503967,.49405649,.95097905,.015317969,.0056489343,.0014382256,.65611041,.12890783,.041324824,.15985398,33274,.40369999,26.1,.27241889
LaGrange,AL,"Calhoun County, Alabama",-.21203363,116648,192.5305,.48242575,.7511059,.20484707,.0019117343,.0085728001,.6335578,.17557815,.051666666,.17294994,30289,.44639999,31.1,.31602326
Birmingham,AL,"Chilton County, Alabama",.14339164,43819,63.244202,.49337044,.84045732,.10333417,.0036057418,.002875465,.64322066,.14084555,.048309177,.14177145,30234,.44620001,28.4,.30567056
Dothan,AL,"Coffee County, Alabama",.074107401,50884,74.942734,.49473312,.76776588,.17351231,.0093349582,.012322145,.60788071,.2385968,.038062282,.11945295,33940,.44760001,27,.26413214
Florence,AL,"Colbert County, Alabama",-.31076854,54444,91.870087,.48312026,.79551464,.15571964,.0057306588,.0032694144,.652731,.1858293,.03162599,.18506341,29471,.44319999,30.299999,.26118645
Troy,AL,"Covington County, Alabama",.18292929,37886,36.766239,.48405743,.84342504,.13020641,.0045135408,.0030882121,.65489233,.14325652,.083943665,.16004787,26470,.46129999,26.299999,.31191874
Birmingham,AL,"Cullman County, Alabama",.26671582,80965,110.1804,.49504107,.95693201,.011906379,.0040881862,.0055703083,.67281657,.14564395,.05155642,.16262934,28305,.4517,29.6,.25049835
Dothan,AL,"Dale County, Alabama",-.01844677,49866,88.863983,.4954879,.74664098,.19648658,.0051738662,.011791602,.69032937,.16354339,.051588785,.10525754,32704,.44260001,27.200001,.26190275
Tuscaloosa,AL,"Dallas County, Alabama",-.60990036,42154,43.071659,.46140343,.2866869,.69184417,.0018266357,.0034160458,.64073145,.14016683,.044705883,.19398326,19833,.5255,36.5,.53759718
Gadsden,AL,"DeKalb County, Alabama",.35971171,71068,91.453621,.49915573,.86417234,.018221984,.012340294,.0030815557,.61240393,.11180045,.042421106,.27582979,27739,.44299999,22.9,.25192642
